doctype;docentry;itype;TransNo;remarks;transdate;Collector
13;21700;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
13;21701;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
13;21702;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
13;21703;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
13;21704;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
13;21712;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
13;21713;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
13;21714;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
13;21720;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
13;21721;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
13;21722;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
13;21723;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
13;21741;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
13;21744;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
13;21745;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
13;21747;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
13;9927;Tukar Faktur;PY-IN-23001683;;2023-01-16;Amir
13;9928;Tukar Faktur;PY-IN-23001683;;2023-01-16;Amir
13;20931;Tukar Faktur;PY-IN-23001688;;2023-01-16;Amir
13;1808;Tukar Faktur;PY-IN-23001692;;2023-01-16;Amir
13;21668;Tukar Faktur;PY-IN-23001694;;2023-01-16;Bayu
13;21669;Tukar Faktur;PY-IN-23001694;;2023-01-16;Bayu
13;43246;Tukar Faktur;PY-IN-23001695;;2023-01-16;Bayu
13;41034;Tukar Faktur;PY-IN-23001696;;2023-01-16;Affen
13;7915;Tukar Faktur;PY-IN-23001698;;2023-01-16;NO COLLECTOR
13;10526;Tukar Faktur;PY-IN-23001702;;2023-01-16;Affen
13;10563;Tukar Faktur;PY-IN-23001702;;2023-01-16;Affen
13;11180;Tukar Faktur;PY-IN-23001704;;2023-01-16;Tyo
13;19177;Tukar Faktur;PY-IN-23001708;;2023-01-16;Budi
13;19178;Tukar Faktur;PY-IN-23001708;;2023-01-16;Budi
13;21563;Tukar Faktur;PY-IN-23001708;;2023-01-16;Budi
13;21564;Tukar Faktur;PY-IN-23001708;;2023-01-16;Budi
13;100;Tukar Faktur;PY-IN-23001710;;2023-01-16;NO COLLECTOR
13;104;Tukar Faktur;PY-IN-23001710;;2023-01-16;NO COLLECTOR
13;109;Tukar Faktur;PY-IN-23001710;;2023-01-16;NO COLLECTOR
13;112;Tukar Faktur;PY-IN-23001710;;2023-01-16;NO COLLECTOR
13;193;Tukar Faktur;PY-IN-23001710;;2023-01-16;NO COLLECTOR
13;93;Tukar Faktur;PY-IN-23001710;;2023-01-16;NO COLLECTOR
13;94;Tukar Faktur;PY-IN-23001710;;2023-01-16;NO COLLECTOR
13;96;Tukar Faktur;PY-IN-23001710;;2023-01-16;NO COLLECTOR
13;97;Tukar Faktur;PY-IN-23001710;;2023-01-16;NO COLLECTOR
13;16543;Tukar Faktur;PY-IN-23001711;;2023-01-16;Fuad
13;21661;Tukar Faktur;PY-IN-23001711;;2023-01-16;Fuad
13;18105;Tukar Faktur;PY-IN-23001705;;2023-01-16;Affen
13;18571;Tukar Faktur;PY-IN-23001705;;2023-01-16;Affen
13;19776;Tukar Faktur;PY-IN-23001705;;2023-01-16;Affen
13;19777;Tukar Faktur;PY-IN-23001705;;2023-01-16;Affen
13;19822;Tukar Faktur;PY-IN-23001705;;2023-01-16;Affen
13;20069;Tukar Faktur;PY-IN-23001705;;2023-01-16;Affen
13;21130;Tukar Faktur;PY-IN-23001705;;2023-01-16;Affen
13;21131;Tukar Faktur;PY-IN-23001705;;2023-01-16;Affen
13;21172;Tukar Faktur;PY-IN-23001705;;2023-01-16;Affen
