CardCode;CardName;Notes
UM0969;TAN PO LIAN;Weekly – RABU
CT0154;AGUSTINUS GOZALI;Weekly - RABU
RQ0038;PT SINEMA AGUNG MANDIRI;Weekly - RABU
UM0225;PT TRANS COFFEE;Weekly - KAMIS
RQ0020;PT TRANS BURGER;Weekly - KAMIS
RQ0044;PT TRANS RASA NIPPON;Weekly - KAMIS
RQ0047;PT TRANS RASA BALI;Weekly - KAMIS
RS0739;PT. TRANSINDO OASIS ENTERPRISES;Weekly - KAMIS
RQ0034;PT TRANS RASA ORIENTAL;Weekly - KAMIS
RQ0017;PT SARI MELATI KENCANA TBK;Weekly - KAMIS
RS2782;PT FEDWELL PASTI SEJAHTERA;Weekly - KAMIS
DS0252;PT OBOR SUMBERDAYA NUSANTARA;Weekly - KAMIS
DS0139;PT DELISARI NUSANTARA;Weekly - KAMIS
CT0111;LEAFWELL SEHAT SEJAHTERA;Weekly - KAMIS
MN0004;PT DAGSAP ENDURA EATORE;Weekly – KAMIS
MN0082;PT LASALLEFOOD INDONESIA;Weekly - KAMIS
RQ0010;PT MOG INDONESIA;Weekly - JUMAT
CT0147;MUHAMMAD NAJIB;Weekly - JUMAT
MN0072;PT MIRE INDO UTAMA;Weekly - JUMAT
DS0253;PT ANUGERAH INDO MANDIRI;Weekly - JUMAT
SM0167;PT CENTRAL REZEKI COLD STORAGE;Weekly – Senin
SM0115;PT. MULTI BUAH SUKSES;Weekly – Senin
SM0150;PT. MULTI SUMBER  REZEKI;Weekly – Senin
SM0173;PT TUMBUH BERSAMA SEHAT;Weekly – Senin
SM0133;TAN ANDI;Weekly – Senin
SM0176;PT TOTALITAS TANPA BATAS;Weekly – Senin
SM0091;PT. LULU GROUP RITEL;Weekly – Senin
