CardCode;CardName;Notes
RS2966;PT NEW STAR INDONESIA;Weekly - Kamis
OT0011;PT. SANGGRAHA DAKSAMITRA;Weekly - Kamis
UM0639;PT CIPTA PRIMA MAHAKARYA GADING;Weekly - Kamis
RS2603;PT. MBRONEX BOGA INDONESIA;Weekly - Kamis
RS0635;PT. VISWA INTERNATIONAL;Weekly - Kamis
RS0541;PT. RHEMA BUDIMAN LESTARI;Weekly - Kamis
RS2749;PT. PANGAN LANGGENG YASA;Weekly - Jumat
UM0747;HERY PRIANTO;Weekly - Kamis awal bulan tanggal  5 s/d15
RS2819;PT BERKAH BOGA MANDIRI;Weekly - Kamis
RS2845;PT. GRAN CIPTA CEMERLANG;Weekly - Kamis
RS1334;KHAERUNAS SAYUTI RASYIO;Weekly - Kamis
rs1642;PT. SUMBER PESONA AIR;Weekly - Kamis
RS2281;PT HARITTS KAFE INDONESIA;Weekly - Selasa dan Weekly - Kamis
RS1021;PT. MOTION BLUE INDONESIA;Weekly - Kamis
RS2881;PT. KEDAI FILOSOFI KOPI;Weekly - Kamis
RS2933;PT SHABUJIN MOI KELAPA GADING;Weekly - Kamis
RS0239;PT. BUGI LA BOGA;Weekly - Kamis
RS3023;PT SELERA UTAMA NIKMAT;Weekly - Kamis
RS0727;PT. SEI SUSHIDO JAYA;Weekly- Jumat (SEBELUM TANGGAL 10 TUKER FAKTUR)
RS1187;PT. SAPTA KREASI RASA;Weekly- Jumat
RS1417;PT. DAPUR NGEBUL MAKMUR;Weekly - Jumat
RS1933;PT MAJU MAPAN YIC;Weekly- Jumat
RS2009;PT MULTI BOGA MAKMUR;Weekly- Jumat
RS2080;PT. SARANA TRANSAKSI;Weekly -Jumat
RS2008;PT DAISE RETAIL INDONESIA;Weekly - Jumat
RS2106;DAISEI SELERA INDONESIA;Weekly -Jumat
UM0001;WILLIAM WONGSO KULINER;Weekly - Jumat
RS2118;PT. KOPI MITRA KREASI;Jumat
RS2737;CV. ROOFPARK INTERFOOD MAKMUR;(BOGOR DAN PUNCAK), SUSILO (PIK)
RS2450;PT CAHAYA MAHAKARYA LESTARI;Weekly - Jumat
RS2913;PT. MUSA BOGA INDONESIA;Weekly - Jumat
RS1854;PT. ARTHA KOMUNITAS KITA;Weekly - Jumat
RS2929;PT NATIVE MAKMUR INOVASI;Weekly - Jumat
RS1526;PT LADANG ANUGERAH;Weekly - Jumat
RS3048;PT SUSHIYA SUKSES INDONESIA;Weekly - Jumat
RS2824;PT. TERRA LIVINDO HARMONIS;Jumat
RS3057;PT INDO JEPANG KULINER;Jumat
RS2095;PT GORDI KREASI INDONESIA;JUMAT
RS0733;PT. SURGA MAKMUR LANGGENG;MINGGU PERTAMA WEEKLY - KAMIS
RS2916;PT OBONK WAROENG GROUP;KIRIM POS
RS0315;PT. FOOBE INDO PERSADA;PERTANGGAL 31 OKTOBER TOP JADI 30 HARI
RS0908;PT. GRAHA FOOBE KREASI;TF PER TGL 4 DAN 19
RS1231;PT. FOOBE MEGA KUNINGAN;TF PER TGL 4 DAN 19
RS1029;PT. SUMIYA BOGA LESTARI;SEBELUM TGL 8 (AWAL BULAN)
RS1484;PT. SUMIYA BOGA LESTARI;SEBELUM TGL 8 (AWAL BULAN)
RS2033;PT. SUMIYA BOGA LESTARI;SEBELUM TGL 8 (AWAL BULAN)
RS1573;PT. SUMIYA BOGA LESTARI;SEBELUM TGL 8 (AWAL BULAN)
RS2233;PT. FRASERS HOSPITALITY INVESTMENTS;PER TGL 14 & 25
RS0686;PT. GRAHA SIDANG PRATAMA;TUKAR FAKTUR : DIATAS TGL 7 DAN DIBAWAH TGL 10
DS0293;PT INVESTASI NIAGA ANUGERAH;POS
DS0067;FAJAR JAYA ANUGERAH;WEEKLY - BEBAS
DS0199;PT SUKSES INT ANUGRAH PRATAMA;WEEKLY - BEBAS
DS0264;PT RASKA ANUGERAH UTAMA;WEEKLY - BEBAS
DS0241;PT PRADA NIAGA ANUGERAH;WEEKLY - BEBAS
DS0233;JOINHED NUSANTARA;WEEKLY - BEBAS
UM0073;HIJRAH GIZI HEWANI;WEEKLY - BEBAS
DS0141;PT GIZI PANGAN UTAMA;WEEKLY - BEBAS
UM0449;SARANA INTI PANGAN;WEEKLY - BEBAS
UM0414;PT. SANTOSA AGRINDO;WEEKLY - BEBAS
UM0205;PT. MULWARRA RAYA UTAMA;WEEKLY - BEBAS
UM0228;PT. PUSEMA RAYA UTAMA;WEEKLY - BEBAS
DS0292;PT HOKINDO INTI MAJU;WEEKLY - BEBAS
UM0214;PT. SARANA KULINA INTISEJAHTERA;WEEKLY - BEBAS
UM0064;M ASRI ARIS TRISULISTYO RINI;WEEKLY - SELASA
DS0151;PT KHARISMA CAHAYA ABADI;WEEKLY - SELASA
DS0130;PT JAYA DISTRIBUSI RITEL;WEEKLY - SELASA
DS0256;PT CHARIS BERKAT UTAMA;WEEKLY - SELASA & KAMIS
UM0388;PT. SEGAR BARU ABADI;WEEKLY - SELASA & KAMIS
DS0128;PT GLOBAL MITRA ANUGRAH;WEEKLY - RABU
DS0238;PT WASESA HEWANI ANUGERAH;WEEKLY - RABU
DS0286;PT SENTRAL NIAGA ANUGERAH;WEEKLY - RABU
UM0304;PT. JAYA PERKASA INTERNASIONAL;WEEKLY - KAMIS
DS0103;PT PANEN AGRO LESTARI;WEEKLY - KAMIS
RS2941;PT MITRA BOGA PERSADA;Weekly - Bebas
RC0095;PT BUMI BERKAH BOGA;Weekly - Bebas
UM0735;CALVIN WIDJAJA;Weekly - Bebas
RS2729;PT KULINER NUSA KREASI;Weekly - Jumat
