docentry;revisi;U_IDU_FPajak;docnum;docdate;cardcode;cardname;NumAtCard
95921;081.007-23.17041832;080.007-23.17041832;302103736;2023-02-24 00:00:00.000;SM0051;PT. SWALAYAN SUKSES ABADI;SO202302126015
96823;081.007-23.17042724;080.007-23.17042724;302502487;2023-02-24 00:00:00.000;SM0050;PT. SUPRA BOGA LESTARI Tbk;SO202302125994
96825;081.007-23.17042726;080.007-23.17042726;302304581;2023-02-21 00:00:00.000;RS1401;PT PAWON BOGA INTERNUSA;SO202302121770
96827;081.007-23.17042728;080.007-23.17042728;302304582;2023-02-21 00:00:00.000;RS1401;PT PAWON BOGA INTERNUSA;SO202302121771
96828;081.007-23.17042729;080.007-23.17042729;302103901;2023-02-23 00:00:00.000;FC0073;FOC RF;SO202302124810
96830;081.007-23.17042731;080.007-23.17042731;302502488;2023-02-24 00:00:00.000;SM0050;PT. SUPRA BOGA LESTARI Tbk;SO202302125987
96832;081.007-23.17042733;080.007-23.17042733;302205139;2023-02-24 00:00:00.000;HT0129;PT. SWADHARMA KERRY SATYA;SO202302124980
96833;081.007-23.17042734;080.007-23.17042734;302103902;2023-02-23 00:00:00.000;FC0073;FOC RF;SO202302124812
96835;081.007-23.17042736;080.007-23.17042736;302103903;2023-02-23 00:00:00.000;FC0073;FOC RF;SO202302124813
96836;081.007-23.17042737;080.007-23.17042737;302205140;2023-02-24 00:00:00.000;HT0129;PT. SWADHARMA KERRY SATYA;SO202302124981
96837;081.007-23.17042738;080.007-23.17042738;302502489;2023-02-24 00:00:00.000;SM0050;PT. SUPRA BOGA LESTARI Tbk;SO202302125982
96839;081.007-23.17042740;080.007-23.17042740;302103904;2023-02-23 00:00:00.000;FC0073;FOC RF;SO202302124814
96840;081.007-23.17042741;080.007-23.17042741;302304587;2023-02-21 00:00:00.000;RS0412;PT. LEGENDA KULINER;SO202302121994
96841;081.007-23.17042742;080.007-23.17042742;302103905;2023-02-23 00:00:00.000;FC0073;FOC RF;SO202302124815
96842;081.007-23.17042743;080.007-23.17042743;302502490;2023-02-24 00:00:00.000;SM0050;PT. SUPRA BOGA LESTARI Tbk;SO202302125969
96845;081.007-23.17042746;080.007-23.17042746;302103906;2023-02-23 00:00:00.000;FC0073;FOC RF;SO202302124816
96846;081.007-23.17042747;080.007-23.17042747;302304589;2023-02-21 00:00:00.000;RS2756;PT MITRA SUKSES ARKATAMA;SO202302122020
96847;081.007-23.17042748;080.007-23.17042748;302502491;2023-02-24 00:00:00.000;SM0050;PT. SUPRA BOGA LESTARI Tbk;SO202302125959
96848;081.007-23.17042749;080.007-23.17042749;302103907;2023-02-23 00:00:00.000;FC0073;FOC RF;SO202302124818
96852;081.007-23.17042753;080.007-23.17042753;302103908;2023-02-23 00:00:00.000;FC0073;FOC RF;SO202302124824
96858;081.007-23.17042759;080.007-23.17042759;302205142;2023-02-24 00:00:00.000;HT0216;PT. GUNUNG ANSA;SO202302125280
96859;081.007-23.17042760;080.007-23.17042760;302103909;2023-02-23 00:00:00.000;FC0073;FOC RF;SO202302124826
