sapBPCode;code;CardName;CardFName;Type;sales;creditlimit;locklimit(days);pymntgroup
RS0273;102.228;REPHAS;REPHAS;Restaurant;78;5000000;0;4
RS0279;102.219;ROCKET RESTO;ROCKET RESTO;Restaurant;78;300000;0;4
RS0281;114.035;RUMAH KOPI SRAGEN;RUMAH KOPI SRAGEN;Restaurant;78;1000000;0;4
RS0284;102.075;SAFFRON RESTAURANT & MEATSHOP;SAFFRON RESTAURANT & MEATSHOP;Restaurant;78;20000000;30;4
RS0286;102.264;SALAD SQUAD;SALAD SQUAD;Restaurant;78;10000000;15;4
CT0009;104.005;SARI MELATI CATERING;SARI MELATI CATERING;Catering;78;5000000;15;4
PC0063;114.081;SAUDAGAR COFFE;SAUDAGAR COFFE;Coffee Shop;78;2000000;0;4
RS0300;102.253;SFA STEAK KARANGANYAR;SFA STEAK KARANGANYAR;Restaurant;78;30000000;30;4
FC0004;102.329;SFA STEAK KARANGANYAR (FoC);SFA STEAK KARANGANYAR (FoC);FC;78;0;0;4
PC0056;114.094;SOLIZ COFFE;SOLIZ COFFE;Coffee Shop;78;3000000;7;4
RS0315;102.026;STEFANY BAKERY & STEAK;STEFANY BAKERY & STEAK;Restaurant;78;3000000;0;4
RS0319;102.247;SUGAR KARAOKE;SUGAR KARAOKE;Restaurant;78;5000000;0;4
RS0321;102.266;SUMMER STREET MOCKTAIL;SUMMER STREET MOCKTAIL;Restaurant;78;1000000;0;4
RS0322;102.246;SUN CITY Restaurant;SUN CITY Restaurant;Restaurant;78;2000000;7;4
UM0049;115.05;SURYO;SURYO;Umum;78;1000000;0;4
RS0331;102.277;THE BARREL;THE BARREL;Restaurant;78;1000000;14;4
RS0332;102.276;THE HIDDEN PLACE;THE HIDDEN PLACE;Restaurant;78;1000000;0;4
RS0371;102.183;THE OISHI BAR;THE OISHI BAR;Restaurant;78;2000000;30;4
PC0067;114.091;TOMUAN COFFE;TOMUAN COFFE;Coffee Shop;78;10000000;30;4
RS0372;102.274;TONG TJI;TONG TJI;Restaurant;78;5000000;30;4
CT0007;102.27;TSABITA JASA BOGA;TSABITA JASA BOGA;Catering;78;3000000;7;4
CT0008;104.007;TULAS CATERING;TULAS CATERING;Catering;78;10000000;0;4
UM0051;106.029;TUTI SRI NURYANTI;TUTI SRI NURYANTI;Umum;78;1000000;7;4
