docentry;docnum;pib;nopen;kodebilling;pph22;pib_nilaipabean;pib_ndpbm;pib_cif2;pib_ntpn;apinvoice
21074 ;2050000076 ;00000000012920220706100110;357985;620220700075447;21144000;82620;10236.34;845726410.8;517A36OIHJHV09DN;28623
21325 ;2050000204 ;04030S01360520220706000865;357463;620220700060518;33563000;90141.07;14865;1339947006;EEA2E7L01E4BCQR6;28624
21382 ;2050000212 ;00000000012920220630200208;352700;620220700051707;30396000;81775.94;14837;1213309621.78;458166OIHJHUV17R;28657
21381 ;2050000211 ;00000000012920220701200210;352702;620220700051897;66878000;180299.39;14837;2675102049.43;3D9BB6OIHJHUVIDP;28658
21241 ;2050000183 ;04030S01360520220712000876;368388;620220700111607;28447000;72899.93;14865;1083657459;31C856OIHJHV1CNN;28674
20990 ;2050000016 ;00000000012920220705100108;362126;620220700097085;30267000;73951.2;15591.3;1152995344.56;927C14VNHUD66UHT;28675
21536 ;2060000219 ;00002001360520220712000133;903571;620220700109337;20351000;79522.52;10236.34;814019552.377;CBCDB6OIHJHV1AGP;28676
21557 ;2060000228 ;00002001360520220714000136;903616;620220700139646;122714000;327520.576;14987;4908550866.517;A857B5S51OVIL83U;28677
21551 ;2070000050 ;00002001360520220714000135;903608;620220700131537;14032000;37450.91;14987;561276788.17;ED54C6OIHJHV206H;28679
21560 ;2050000228 ;04030S01360520220707000870;365356;620220700087777;33134000;87610.6;14865;1302331569;0399F6OIHJHV0LF1;28680
21164 ;2030000400 ;04030S01360520220708000872;361938;620220700081647;35852000;94118.42;14865;1399070313;22AB56OIHJHV0FFF;28681
21552 ;2060000226 ;00002001360520220713000134;903592;620220700123236;90948000;244729.841;14865;3637909092.411;9D6415S51OVIKO34;28682
21298 ;2050000199 ;04030S01360520220707000869;362341;620220700082648;99503000;261218.39;14865;3883011367;A69AB7L01E4BDGEO;28683
21316 ;2050000202 ;04030S01360520220706000868;361932;620220700070696;162596000;211788.2;10236.34;2167936023;562A45S51OVIJ4P8;28684
21317 ;2050000203 ;04030S01360520220706000867;361933;620220700071674;159681000;207991.78;10236.34;2129074577;0D9A043A23QPP5NQ;28685
21295 ;2050000198 ;00000000012920220704100106;362125;620220700096874;13000000;34980;14865;519977700;FE4C443A23QPPUBA;28686
21245 ;2050000186 ;04030S01360520220620000847;361934;620220700072854;23107000;62176.04;14865;924246835;CD28443A23QPP6SM;28687
20722 ;220100245 ;00000000012920220623200201;332255;620220600247965;28027000;72413.92;14744;1067670836.48;;28697
21328 ;2050000206 ;04030S01360520220706000866;361936;620220700076256;52165000;203841.02;10236.34;2086585987;63C3D5S51OVIJA70;28699
21355 ;2040000261 ;04030S01360520220712000875;369788;620220700111264;28415000;72818.68;14865;1082449678;AFB9643A23QPQCD0;28711
21160 ;220200393 ;04030S01360520220620000845;369852;620220700115295;28447000;72899.93;14865;1083657459;3A5304VNHUD67GAV;28712
21159 ;220200392 ;04030S01360520220617000841;369748;620220700099384;59954000;153646.93;14865;2283961614;3038A43A23QPQ0PO;28713
21454 ;2050000220 ;04030S01360520220712000877;367910;620220700112279;23298000;62042.18;14865;922257006;D6B338HDH8MNRDCN;28714
21601 ;2070000087 ;00002001360520220719000138;903703;620220700175920;19821000;77467.98;10234.21;792823575.596;5FBEE0HK2PH88BHG;28726
21013 ;2030000385 ;00000000012920220713200214;371134;620220700138025;30805000;78300.93;14987;1173496037.91;951654VNHUD686H9;28727
21409 ;2050000214 ;00000000012920220713200215;374283;620220700154853;16085000;62867.58;10234.21;643400015.91;1AB6C36SI98DEMV5;28728
21283 ;2050000196 ;04030S01360520220712000878;371988;620220700114331;159580000;207860.3;10236.34;2127728703;A287A1E1IK3KJFCR;28729
20962 ;2040000210 ;00000000012920220704100107;376640;620220700159773;15456000;38354.5;15350.57;588763437.07;1507336SI98DEROT;28730
21600 ;2060000237 ;00002001360520220719000137;903702;620220700176059;11637000;31056.64;14987;465445863.68;28FF68HDH8MNTBLR;28731
21540 ;2060000221 ;04030S01360520220719000880;382936;620220700177938;81892000;218565.55;14987;3275641898;7AFB47L01E4BGDGI;28785
21566 ;2060000231 ;00000000012920220718100116;391155;620220700233441;27318000;24300;14989;364232700;B11031E1IK3KN3N1;28827
21094 ;2040000240 ;00000000012920220718100114;387430;620220700214271;14366000;36511.42;14989;547269674.38;41ECE1E1IK3KMGVV;28828
21243 ;2040000255 ;00000000012920220726100121;393897;620220700243470;9190000;23355.6;14989;350077088.4;EB01F0HK2PH8ADGE;28903
21366 ;2050000210 ;00000000012920220718200220;394374;620220700247326;13958000;37024.34;14989;554957832.26;BEC6E5S51OVIOH8U;28904
21390 ;2050000213 ;00000000012920220719100117;391156;620220700233976;12580000;33568.88;14989;503163942.32;5E52B5S51OVIO470;28905
21125 ;2040000246 ;00000000012920220718100115;387431;620220700214308;18575000;47206.8;14989;707582725.2;22BD87L01E4BHH14;28906
21281 ;2050000194 ;00000000012920220707100111;387432;620220700214429;20909000;52892.5;15059.15;796516091.38;B6A078HDH8MNUH4T;28907
21508 ;2060000215 ;04030S01360520220721000902;393518;620220700233546;20516000;54717.71;14989;820163755;164315S51OVIO3QA;28908
21453 ;2050000219 ;04030S01360520220719000881;397926;620220700234249;21265000;55413.3;14989;830589954;5C1698HDH8MNV4G9;28909
21542 ;2060000223 ;04030S01360520220721000895;396141;620220700202952;56327000;150314.64;14989;2253066139;E244E2AF2EM135U8;28910
21121 ;2040000245 ;00000000012920220708100112;400069;620220700267903;17252000;43809.52;15001;657186609.52;EB28336SI98DI5BV;28911
