ITEM CODE;NAMA ITEM;BIAYA LAYANAN 2023;ServiceFee
EKR3YOP005;YOPOKKI HALAL JJAJANG -MANIS (Topokki / Tteokbokki) 280 GR;0.0380;3.8
EKR3YOP006;YOPOKKI HALAL SPICY - PEDAS (Topokki / Tteokbokki) 140GR;0.0380;3.8
EKR3YOP007;YOPOKKI HALAL SPICY - PEDAS (Topokki / Tteokbokki) 280 GR;0.0380;3.8
GID2OLS002;Sweet Potato / Ubi Premium;0.0310;3.1
AID2OLS024;Daging Patties Kotak / Square Beef Patties 450GR / 5 PC;0.0310;3.1
AID2LOC041;US Premium Saikoro - 100% Daging Halal;0.0310;3.1
HSG1EMM001;Emmi Premium Yoghurt from Swiss;0.0310;3.1
AID2OLS037;Daging Giling Premium / Premium Ribeye Ground Beef - LOW FAT;0.0310;3.1
GID2OLS001;USA - Potato Wedges / Kentang Wedges Bumbu Original 500 gr;0.0310;3.1
EID3KEW008;kewpie salad dressing thousand island;0.0310;3.1
EID3KEW006;kewpie salad dressing soy sauce;0.0310;3.1
EID3KEW005;kewpie salad dressing roasted sesame;0.0310;3.1
EID3KEW007;kewpie salad dressing caesar;0.0310;3.1
EID3KEW009;kewpie salad dressing spicy tomato;0.0310;3.1
EID3KEW001;mayonaise original / kewpie original mayonaise;0.0310;3.1
HBE3CDM005;Countre Vanilla Milk / Susu Countre Rasa Vanilla;0.0310;3.1
HBE3CDM003;Countre Peach Mango Milk / Susu Countre Rasa Peach Mangga;0.0310;3.1
HBE3CDM001;Countre Banana Milk / Susu Countre Rasa Pisang;0.0310;3.1
AID2OLS027;US - Choice Short Rib Bone In / Daging Iga Sapi 500 gr;0.0310;3.1
AID2OLS010;US - Prime Striploin / Daging Steak Sapi 200gr;0.0310;3.1
AID2OLS009;US - Striploin Select / Daging Steak Sapi 200gr;0.0310;3.1
AID2OLS019;AUS - Striploin Black Angus - Grass Fed - Hormone Free 200 gr;0.0310;3.1
AID2OLS018;AUS - Daging Sapi 1 KG BLADE -Black Angus -Hormone Free - Grass Fed;0.0310;3.1
AID2OLS021;AUS - Premium Ribeye black angus / Daging Sapi cut Steak 200 gr;0.0310;3.1
AID2OLS023;AUS - premium yakiniku / shabu2 PE brisket YG / daging sapi slice;0.0310;3.1
AID2OLS007;USA - Tenderloin NR grain fed / daging sapi steak;0.0310;3.1
GID2TAS005;Tasty Fries Straight Cut Plain / kentang beku;0.0310;3.1
GID2TAS003;Tasty Fries Crinkle Cut Plain / kentang beku;0.0310;3.1
GID2TAS002;Tasty Fries Shoestring Batter Coated / kentang beku;0.0310;3.1
AID2OLS005;Aus Beef Tail Mix Cut / Buntut sapi Potongan campur / Pack +- 500 gram;0.0310;3.1
AID2OLS004;Aus Beef Tail End Cut / Buntut sapi End cut /Pack +- 500 gram;0.0310;3.1
AID2OLS017;Premium Yakiniku + Shabu. US Prime Beef (A001);0.0310;3.1
AID2OLS015;Premium Yakiniku - US Certified Angus Beef (A002);0.0310;3.1
