sapBPCode;Outlet;Outlet Address
RS0329;TEAK YARD (CV. JATI PERKASA);Jl. Adi Sucipto, Blukukan Dua, Blulukan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57174
RS0330;TEKO RESTO;"JL. RAJAWALI NO.72 KLATEN"
RS0245;TEKSAS RESTO TAWANGMANGU;"Jl. Alternatif Lawu Dawuhan Blumbang Kec. Tawangmangu Kabupaten Karanganyar"
PC0059;TFP COFFEE;Jl. Jendral Urip Sumoharjo, Kepatihan Wetan, Gandekan, Jebres, Surakarta
HT0049;THE ADHIWANGSA HOTEL SOLO;Jalan Adi Sucipto No. 146, Komp. Hailai, SoloJawa Tengah
RS0331;THE BARREL;Jl. Urip Sumoharjo RT 003 RW 002Purwoningratan JebresSurakarta
RS0332;THE HIDDEN PLACE;Ruko no.16, Jl. Popda No.17, Nusukan, Banjarsari, Kota Surakarta, Jawa Tengah 57135
RS0371;THE OISHI BAR;"JLN. VETERAN NO 276 (TIMUR MAKRO) SURAKARTA"
HT0052;THE ROYAL SURAKARTA HERITAGE HOTEL (PT. SUNINDO INDAH HOTEL);Slamet Riyadi St No.6, Kampung Baru, Pasar Kliwon, Surakarta City, Central Java 57111
HT0050;THE SUNAN HOTEL (PT. GRAHAMULYA WIRASTAMA);JL. JEND.A.YANI NO.40 SURAKARTA
RS0053;THE TRANS RESTAURANT;JOGOBAYAN RT.1 RW.6 STABELAN BANJARSARI SOLO (JLN. RADEN SALEH NO. 4)
UM0050;THOMAS;SOLO
RS0333;TIMLO SOLO;"Jl. Jend. Urip Sumoharjo No.94 Purwodiningratan Kec. Jebres Kota Surakarta"
RS0335;TIRAI BAMBOO;"JL.TENGKU UMAR NO.6 KEPRABON SURAKARTA"
RS0004;TJANGKIR GENDHIS;JL. RONGGOWARSITO NO 164, TIMURAN , BANJARSARI, SURAKARTA.
RS0060;TJEMAL TJEMIL;Jalan Dokter Soepomo No.51, Mangkubumen, Banjarsari
RS0336;TOKIO BOWL;"THE PARK SOLO JLN. IR. SOEKARNO GROGOL SUKOHARJO"
RS0193;TOKI-TOKI;"Jl. Ki Hajar Dewantoro No. 43 Jebres Belakang Gerbang UNS Sebelang ATM CENTER"
