cardcode;cardname;cardfname;Address;OUTLET;Street;U_Bill_Area
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING GALUH MAS KARAWANG;GALUH MAS KARAWANG;JL GALUH MAS RAYA KARAWANG JAWA BARATGF;BK71
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING LIPPO CIKARANG;LIPPO CIKARANG;Jl. MH Thamrin Blok 1A Sukaresmi Cikarang Selatan Bekasi Jawa Barat 17530GF;BK72
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING PONDOK INDAH PLAZA;PONDOK INDAH PLAZA;JLN METRO PONDOK INDAH BLOK UA JAKARTA 12310GF;BK74
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING BEC;BEC;JL.Purnawarman No.13-15,Babakan Ciamis Bandung 40117 Street Lv CO5A & CO5B;BK75
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING CITRA RAYA CIKUPA;CITRA RAYA CIKUPA;PERUMAHAN CITRA RAYA BLOK A07 NO 02D JL BOULEVARD CITRA RAYA DESA CIKUPA KEC CIKUPA KAB TANGERANGGF;BK77
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING CIBINONG CITY MALL;CIBINONG CITY MALL;Jl. Tegar Beriman No.1 Cibinong Bogor 1st Floor B17;BK78
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING DAAN MOGOT;DAAN MOGOT;JL.Tampak Siring Raya No.3 Kalideres Jakarta Barat 11840GF;BK79
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING LIVING WORLD ALAM SUTERA;LIVING WORLD ALAM SUTERA;Jl Alam Sutra Boulevard Kav 21 Alam Sutera Serpong Tangerang 15325GF-Unit G75 & G75T;BK80
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING CIBUBUR JUNCTION;CIBUBUR JUNCTION;Jl Jambore No. 1 Ciracas JakartaGF;BK81
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING MALL KELAPA GADING;MALL KELAPA GADING;mall kelapa gading 5 gf #70, jl.boulevar kelapa gadingblok m jakarta;BK84
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING MALL KELAPA GADING 3;KELAPA GADING 3;Jl. Boulevar  Kelapa Gading Blok M Jakarta 142403rd Floor R-078;BK84
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING BELLA TERRA;BELLA TERRA;Jl Boulevard Raya Kav1 Kelapa Gading Timur Kelapa Gading Jakarta Utara 14240GF Unit UG 05 & 06;BK85
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING PONDOK BAMBU;PONDOK BAMBU;JL. Pahlawan Revolusi No.4-6 Pondok Bambu Duren Sawit Jakarta Timur 13440GF;BK86
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING LIPPO MALL PURI (ST MORITZ);LIPPO MALL PURI (ST MORITZ);JL Puri Indah Raya Blok U1 Puri Indah CBD Jakarta 11610Floor 1 Unit L1-83;BK87
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING PURI INDAH;PURI INDAH MALL;Jl Metro Pondok Indah Blok UA Jakarta 12310GF;BK87
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING MAL TAMAN ANGGREK;MAL TAMAN ANGGREK;JL.Letjen S Parman No21 Slipi Jakarta 3rd Floor unit D02;BK89
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING MAL ARTHA GADING;MAL ARTHA GADING;JL Artha Gading Selatan No1 Jakarta 142401st Floor Unit A2 016-021;BK90
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING TANG CITY MALL;TANG CITY MALL;JL.Jend Sudirman No.1 Cikokol Serpong-Tangerang Gf-P0001;BK91
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING MARGO CITY;MARGO CITY;JL.Margonda Raya No.358 Depok 2nd Floor Unit FL2 07;BK93
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING AEON MALL JGC;AEON MALL JGC;JL.Boulevard Jakarta Garden City-Cakung Jakarta Timur 139103 rd Floor Unit FC-308;BK94
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING JEMURSARI;JEMURSARI;JL.Jemur sari No.260,Kel panjang Jiwo,Kec Tenggilis Mejoyo,Surabaya Jawa Timur-60237 No260;BK95
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING ACL;ACL;JL.Pangkalan 2 Bantar Gebang Rt3 Rw5 Bantargebang Bekasi 17153;BK9Z
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING MALL GRAHA  CIJANTUNG;MALL GRAHA  CIJANTUNG;Jl Pendidikan No.1 Cijantung Pasar Rebo Jakarta 13770GF-Area Food Court (POCI)&Unit No48;BKA0
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING BUAH BATU;BUAH BATU;JL.Buah Batu No.165 Rt07 RW06 Kel Turangga  Kec Lengkong Bandung-40264 No165;BKA1
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING BINTARO JAYA XCHANGE;BINTARO JAYA XCHANGE;Bintaro Jaya Sektor VII Boulevard Jaya Blok O-2 Tangerang 15224 1st Floor Unit 412A &412C;BKA2
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING PLAZA KALIBATA;PLAZA KALIBATA;Jl Raya Kalibata RT3/RW2,Rawajati,Pancoran,Kota Jakarta Selatan,DKI Jakarta-12750LG#04;BKA4
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING BENDUNGAN HILIR;BENDUNGAN HILIR;JL.Bendungan Hilir Raya No.23,Bendungan Hilir,Tanah Abang,Jakarta Pusat-10210FSDT;BKA5
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING PAJAJARAN;PAJAJARAN;JL.Raya Pajajaran No E 59 Bogor 16126 No21C;BKA6
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING SALEMBA FSDT;SALEMBA FSDT;JL.Salemba Raya No21 RT001 RW005,Paseban,Senen Jakarta Pusat FSDT;BKA7
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING GRAND WISATA;GRAND WISATA;JL.West Gateway Boulevard,Grand Wisata ,Bekasi-17510GF-FSDT;BKA8
