code;itemcode;itemname;disc;servicefee
151;AID2OLS088;Daging sapi Chuck - Sampil 1 KG - Indoguna;0.031;3.1
152;AID2OLS087;Daging Sapi Knuckle 1 KG - Indoguna;0.031;3.1
153;AID2OLS086;Daging Sapi Outside 1 KG - Indoguna;0.031;3.1
154;AID2OLS078;AUS SHORTPLATE CAP SLICE / DAGING SAPI SLICE 250Gr - INDOGUNA;0.031;3.1
155;AID2OLS077;US CHUCK EYE ROLL SLICE - DAGING SAPI SLICE 250 Gr - INDOGUNA;0.031;3.1
156;AID2OLS076;US RIB EYE SLICE - DAGING SLICE RIB EYE 250Gr - INDOGUNA;0.031;3.1
157;AID2OLS075;Shortplate End - Daging Slice 250Gr - Indoguna;0.031;3.1
158;BID2IGU138;Sosis Sapi Spiral Indoguna / Beef Spiral Sausage Indoguna;0.031;3.1
159;BID2IGU062;Sosis Ayam Spiral Indoguna / Chicken Spiral Sausage Indoguna;0.031;3.1
160;BID2IGU134;Sosis Sapi Frankfurter Diet Keto Indoguna;0.031;3.1
161;BID2IGU137;Sosis Sapi Diet Keto Indoguna;0.031;3.1
162;FID3PRO012;Pro Steak Yakiniku Sauce 250ml - Indoguna;0.031;3.1
163;FID3PRO011;Pro Steak Teriyaki Sauce 250ml - Indoguna;0.031;3.1
164;FID3PRO010;Pro Steak Shitake Mushroom Sauce 250ml - Indoguna;0.031;3.1
165;FID3PRO008;Pro Steak Ponzu Sauce 250ml - Indoguna;0.031;3.1
166;FID3PRO009;Pro Steak 'Steak' Sauce 250ml - Indoguna;0.031;3.1
167;FID3PRO005;Pro Steak Japanese Sauce 250ml - Indoguna;0.031;3.1
168;FID3PRO004;Pro Steak Gravy Sauce 250ml - Indoguna;0.031;3.1
169;FID3PRO003;Pro Steak Brown Sauce 250ml - Indoguna;0.031;3.1
170;FID3PRO014;Pro Steak Galbi / Kalbi Sauce 250ml - Indoguna;0.031;3.1
171;FID3PRO013;Pro Steak Bulgogi Sauce 250ml - Indoguna;0.031;3.1
172;FID3PRO002;Pro Steak Black Pepper Sauce 250 ml - Indoguna;0.031;3.1
173;FID3PRO001;Pro Steak Barbecue Sauce 250 ml - Indoguna;0.031;3.1
174;FID3PRO006;Pro Steak Marinated Steak Sauce 250 ml - Indoguna;0.031;3.1
175;AID2OLS073;Wagyu Beef Karubi Plate MB 9 Daging Slice - INDOGUNA;0.031;3.1
176;AID2OLS072;Wagyu Beef Chuck Roll MB 9 Daging slice - INDOGUNA;0.031;3.1
177;AID2OLS074;US PRIME HANGING TENDER 'SLICE' 250GR - DAGING SLICE - INDOGUNA;0.031;3.1
178;AID2OL0154;Daging Kerbau Allana Murah Halal Tanpa Tulang - Indoguna;0.031;3.1
179;MAT3DBO034;Diabetic Darbo Blueberry Reform - Selai Rendah Gula - Indoguna;0.031;3.1
180;MAT3DBO035;Diabetic Darbo Orange Marmalade Reform - Selai Rendah Gula - Indoguna;0.031;3.1
181;MAT3DBO033;Diabetic Darbo Strawberry Reform - Selai Rendah Gula - Indoguna;0.031;3.1
182;MAT3DBO032;Diabetic Darbo Raspberry Reform - Selai Rendah Gula - Indoguna;0.031;3.1
183;MAT3DBO031;Diabetic Darbo Apricot Reform - Selai Aprikot Rendah Gula - Indoguna;0.031;3.1
184;EAT3DBO006;Darbo Forest Honey - Madu Hutan 500 gram;0.031;3.1
185;FIT3SAL001;Extra Virgin Olive Oil Salvadori 1 liter dari Italia - Indoguna;0.031;3.1
186;AID2OLS068;Australia Blade Cut Yakiniku - Daging Slice Yakiniku Blade Australia;0.031;3.1
187;AID2OLS065;US Beef Galbi-Kalbi MB 4 / Daging Sapi Galbi-Kalbi MB 4 - 250GR;0.031;3.1
188;AID2OLS040;AUS Tomahawk S GF Angus / Daging Sapi Tomahawk S GF Angus;0.031;3.1
189;AID2OLS063;"AUS - Wagyu Striploin MB 7 ""Slice Shabu"" - Daging Sapi Wagyu MB 7";0.031;3.1
190;AID2OLS060;"NZ - Tongue ""Slice Yakiniku"" / Lidah Sapi "" Potongan Yakiniku""";0.031;3.1
191;AID2OLS062;AUS - Tenderloin A / Daging Steak Tenderloin A;0.031;3.1
192;AID2OLS057;US Ribeye Lip On Prime - Daging Steak Sapi Ribeye Lip On Prime;0.031;3.1
193;AID2OLS041;;0.031;3.1
194;AID2OLS055;AUS - Wagyu Striploin MB 7 / Daging Steak Wagyu Sirloin MB 7;0.031;3.1
195;AID2OLS046;AUS - Shank 1 KG / Daging Sapi Sengkel 1 KG;0.031;3.1
196;AID2OLS056;AUS - TENDERLOIN HORMON FREE / DAGING SAPI BEBAS HORMON STEAK 200GR;0.031;3.1
197;AID2OLS053;USA - TENDERLOIN PRIME / DAGING SAPI TENDERLOIN CUT STEAK 200G;0.031;3.1
