CardCode;DocType;Series;DocDate;DocDueDate;TaxDate;CardName;DocNum;NumAtCard;ItemDescription;VatGroup;LineTotal;AccountCode
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221211557;SO22221201423;OB NO SO22221201423-221211557;PPNM_00;31030505;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221211558;SO22221201424;OB NO SO22221201424-221211558;PPNM_00;28538820;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221211559;SO22221201413;OB NO SO22221201413-221211559;PPNM_00;2530800;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221211553;SO22221201441;OB NO SO22221201441-221211553;PPNM_00;234432;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221212148;SO22221201754;OB NO SO22221201754-221212148;PPNM_00;2649348;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221211724;SO22221201636;OB NO SO22221201636-221211724;PPNM_00;1950000;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221211725;SO22221201639;OB NO SO22221201639-221211725;PPNM_00;2383614;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221211726;SO22221201634;OB NO SO22221201634-221211726;PPNM_00;31173000;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221211759;SO22221201638;OB NO SO22221201638-221211759;PPNM_00;7259400;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221212120;SO22221202054;OB NO SO22221202054-221212120;PPNM_00;9600000;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221212131;SO22221202073;OB NO SO22221202073-221212131;PPNM_00;300016;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221212398;SO22221202181;OB NO SO22221202181-221212398;PPNM_00;11550405;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221212399;SO22221202183;OB NO SO22221202183-221212399;PPNM_00;7806186;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221212400;SO22221202196;OB NO SO22221202196-221212400;PPNM_00;7508262;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221212402;SO22221202197;OB NO SO22221202197-221212402;PPNM_00;28954000;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221212791;SO22221202184;OB NO SO22221202184-221212791;PPNM_00;35896210;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221212374;SO22221202312;OB NO SO22221202312-221212374;PPNM_00;145000;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221212392;SO22221202324;OB NO SO22221202324-221212392;PPNM_00;3214680;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221212397;SO22221202182;OB NO SO22221202182-221212397;PPNM_00;15563310;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221212619;SO22221202421;OB NO SO22221202421-221212619;PPNM_00;11532800;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221212620;SO22221202423;OB NO SO22221202423-221212620;PPNM_00;9122535;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221212631;SO22221202544;OB NO SO22221202544-221212631;PPNM_00;15586398;3910003
