ID;ADDRESS;ROOM;warehousename;NO PALLET;LOCATION;CODE;ITEM DESCRIPTION;BOOKING;BRAND;ME/EST;CATEGORI;ITEM CODE;CTN;PCS;KGS;PKD;EXP;OWNER;NO CONT;REMARKS
A04592;B3;G08;B3G08;B3G08-R01-16-C2;G8-1-16-C2;;AUS FRZ BEEF CHUCK A IW;FREE;HARVEY;EST 648;AUS 2ND;AAU2HRV016;30;;520.88;22/03/23;;CKI 18/04/23;TLLU 1093998 (40 FEET);
A04595;B3;G08;B3G08;B3G08-R01-18-C1;G8-1-18-C1;87;NZ FRZ STRIPLOIN PS 4,5 KG UP;FREE;ALLIANCE;;NZ PR CUT;ANZ2AFF055;3;;59.90;16/11/20;;IN 03/04/23;RPTU 2201915 (20 FEET);EX MAKASAR 2
A04596;B3;G08;B3G08;B3G08-R01-18-C1;G8-1-18-C1;63;AUS FRZ CHUCK SHORT RIBS B/LESS;FREE;O'CONNOR;;AUS 2ND;AAU2HRV064;5;;97.80;28/02/20;-;IN 03/04/23;RPTU 2201915 (20 FEET);EX MAKASAR 2
A04598;B3;G08;B3G08;B3G08-R01-18-C1;G8-1-18-C1;77;AUS FRZ RIBEYE B 3 KG UP;FREE;HARVEY;EST 648;AUS PR CUT;AAU2HRV073;5;;90.10;03/07/19;;IN 03/04/23;RPTU 2201915 (20 FEET);EX MAKASAR 2
A04599;B3;G08;B3G08;B3G08-R01-18-C2;G8-1-18-C2;38;AUS FRZ STRIPLOIN IW/VAC;FREE;AMH;;AUS PR CUT;AAU2JBS020;2;;36.12;12/08/19;;IN 03/04/23;RPTU 2201915 (20 FEET);EX MAKASAR 2
A04600;B3;G08;B3G08;B3G08-R01-18-C2;G8-1-18-C2;136;AUS FRZ CHUCK CREST;FREE;OAKEY;EST 558;AUS 2ND;AAU2KIL008;2;;40.43;;20/03/22;IN 03/04/23;RPTU 2201915 (20 FEET);EX MAKASAR 2
A04601;B3;G08;B3G08;B3G08-R01-18-C2;G8-1-18-C2;90;BRAZIL FRZ BEEF OUTSIDE FLAT;FREE;FRIBOI;;BRA 2ND;ABR2MVD001;3;;63.33;;29/10/21;IN 03/04/23;RPTU 2201915 (20 FEET);EX MAKASAR 2
A04605;B3;G08;B3G08;B3G08-R01-20-C1;G8-1-20-C1;42;US 123D FRZ SHORT RIB B/LESS PR;FREE;IOWA;;US 2ND;AUS2SWF042;2;;49.70;-;-;IN 03/04/23;CXRU 2207841 (20 FEET);EX MAKASAR 1
A04607;B3;G08;B3G08;B3G08-R01-20-C1;G8-1-20-C1;38;US 180 FRZ STRIPLOIN SELECT 0 X 1 S/T;FREE;IBP;;US PR CUT;AUS2JBS008;1;;25.32;-;-;IN 03/04/23;CXRU 2207841 (20 FEET);EX MAKASAR 1
A04608;B3;G08;B3G08;B3G08-R01-20-C1;G8-1-20-C1;91;US FRZ BEEF HANGING TENDER;FREE;SWIFT;;US 2ND;AUS2JBS019;5;;83.74;-;-;IN 03/04/23;CXRU 2207841 (20 FEET);EX MAKASAR 1
A04609;B3;G08;B3G08;B3G08-R01-20-C1;G8-1-20-C1;77;AUS FRZ RIBEYE B 3 KG UP;FREE;HARVEY;EST 648;AUS PR CUT;AAU2HRV073;2;;37.32;03/07/19;;IN 03/04/23;CXRU 2207841 (20 FEET);EX MAKASAR 1
A04612;B3;G08;B3G08;B3G08-R01-21-C2;G8-1-21-C2;11;US FRZ BEEF SHOULDER CLOD SELECT ( TOP BLADE MUSCLE );FREE;SWIFT;EST 969;US 2ND;AUS2SWF004;25;;813.03;-;-;IN 03/04/23;CXRU 2207841 (20 FEET);EX MAKASAR 1
A04613;B3;G08;B3G08;B3G08-R01-22-C1;G8-1-22-C1;42;US 123D FRZ SHORT RIB B/LESS CH OR HIGHER CAB;FREE;SWIFT;EST 969;US 2ND;AUS2SWF043;23;;417.83;17/07/17;;IN 03/04/23;CXRU 2207841 (20 FEET);EX MAKASAR 1
A04615;B3;G08;B3G08;B3G08-R01-01-D1;G8-1-01-D1;125;AUS FRZ BEEF INSIDE S GF BLACK ANGUS MB 2+ ;FREE;KILCOY (EBONY);EST 640;AUS 2ND;AAU2KIL016;25;;495.30;06/03/23;05/03/25;SCA 15/04/23;SEGU 9449877 (40 FEET);
A04616;B3;G08;B3G08;B3G08-R01-01-D2;G8-1-01-D2;37;US 112A FRZ RIBEYE LIPON CH OR HIGHER 2X2 DN;FREE;SWIFT;EST 969G;US PR CUT;AUS2JBS015;16;;516.05;28/03/22;;IGU 29/08/22;BEAU 9704348 (40 FEET);
A04617;B3;G08;B3G08;B3G08-R01-02-D1;G8-1-02-D1;38;AUS FRZ STRIPLOIN A 4 KG UP IW/VAC;FREE;HARVEY;EST 648;AUS PR CUT;AAU2JBS020;25;;535.08;17/08/22;;IN 23/09/22;BMOU 8717659(40 FEET);EX CHILLED
A04618;B3;G08;B3G08;B3G08-R01-02-D2;G8-1-02-D2;77;AUS FRZ RIBEYE PR 3,1 KG UP;FREE;HUNTER VALLEY;EST 262;AUS PR CUT;AAU2HRV073;12;;216.73;10/08/22;;IN 26/08/22;OOLU 3876967 (40 FEET);EX CHILLED
A04619;B3;G08;B3G08;B3G08-R01-03-D1;G8-1-03-D1;;US FRZ BEEF TRIMMING 65 CL;FREE;FARMERS;EST 17202A;US 2ND;AUS2SWF063;24;;653.28;14/03/22;;CKI 16/07/22;TXGU 9009455 (40 FEET);
